"","Band","year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","PlasMassTOT","Mass"
"164","162-87066",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.9822,635
"165","162-87067",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5662,645
"166","162-87068",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.7189,610
"167","162-87069",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,670
"168","162-87070",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0032,810
"169","162-87071",2016,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0146,660
"170","162-87072",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,670
"171","162-87073",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,625
"172","162-87074",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,485
"173","162-87075",2016,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,770
"174","162-87076",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,665
"175","162-87077",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,720
"176","162-87078",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,650
"177","162-87083",2016,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,NA
"178","162-87084",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
"179","162-87085",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
"180","162-87086",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
"181","162-87087",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
"182","162-87089",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
"183","162-87090",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.029,NA
"184","162-87093",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,22.255,700
"185","162-87094",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.292,560
"186","162-87096",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,19.1714,625
"187","162-87097",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.6572,575
"188","162-87098",2016,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.4955,610
"189","162-87102",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3202,545
"190","162-87104",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2366,620
"191","162-87139",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0251,525
"192","162-87140",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,650
"193","162-87141",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,390
"194","162-87142",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,495
"195","162-87193",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.8147,615
"196","162-87194",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.056,518
"197","162-87195",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0141,685
"198","162-87196",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0784,465
"199","162-87197",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0067,687
"200","162-87198",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0147,630
"201","162-87199",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,502
"202","162-87200",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,589
"203","162-87214",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0055,680
"204","162-87215",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0124,640
"205","162-87216",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,492
"206","162-87217",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,695
"207","162-87218",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0034,455
"208","162-87219",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,570
"209","162-87220",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.1407,700
"210","162-87222",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2207,700
"211","162-87223",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,617
"212","162-87224",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,530
"213","162-87225",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0208,568
"214","162-87226",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,650
"215","162-87235",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,640
"216","162-87236",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,610
"217","162-87237",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,579
"218","162-87238",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0308,545
"219","162-87239",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,742
"220","162-87240",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.2346,560
"221","162-87241",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0056,640
"222","162-87242",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.5779,660
"223","162-87243",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9093,717
"224","162-87244",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,438
"225","162-87245",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0246,560
"226","162-87246",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.3388,700
"227","162-87247",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,670
"228","162-87248",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4165,685
"229","162-87249",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.1406,520
"230","162-87250",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,602
"231","162-87251",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,620
"232","162-87252",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,680
"233","162-87253",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,627
"234","162-87254",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,605
"235","162-87255",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0042,490
"236","162-87256",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0024,612
"237","162-87257",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,650
"238","162-87258",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.6728,679
"239","162-87259",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.3128,612
"240","162-87260",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,590
"241","162-87261",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0062,600
"242","162-87262",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0056,610
"243","162-87263",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0199,672
"244","162-87264",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.085,840
"245","162-87265",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,622
"246","162-87266",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0719,600
